Palabra,Antiguo_Test,Nuevo_Test,Coran,Tora,Upanishads
jehova,6926.0,0.0,0.0,0.0,0.0
dios,2876.0,1399.0,3065.0,62.0,119.0
hijos,2693.0,162.0,130.0,1827.0,5.0
tierra,2654.0,283.0,459.0,2031.0,62.0
israel,2560.0,73.0,43.0,40.0,0.0
rey,2423.0,92.0,13.0,7.0,30.0
hijo,1999.0,444.0,55.0,2108.0,25.0
dijo,1995.0,959.0,443.0,1872.0,69.0
mas,1809.0,717.0,413.0,1376.0,239.0
casa,1746.0,222.0,53.0,1353.0,4.0
pueblo,1650.0,162.0,244.0,1545.0,0.0
delante,1401.0,192.0,6.0,1237.0,1.0
entonces,1316.0,562.0,96.0,1948.0,94.0
asi,1300.0,368.0,397.0,1994.0,112.0
si,1283.0,884.0,1239.0,2661.0,99.0
habia,1230.0,352.0,90.0,1579.0,4.0
sera,1216.0,200.0,162.0,1318.0,7.0
pues,1153.0,541.0,324.0,585.0,52.0
aqui,1142.0,244.0,52.0,682.0,21.0
dia,1136.0,329.0,459.0,1423.0,11.0
david,1092.0,59.0,16.0,0.0,0.0
mano,1051.0,116.0,22.0,730.0,8.0
tambien,973.0,672.0,83.0,1204.0,32.0
diciendo,914.0,337.0,15.0,1325.0,2.0
toda,897.0,258.0,49.0,961.0,43.0
juda,868.0,12.0,0.0,0.0,0.0
hombre,866.0,392.0,100.0,1550.0,162.0
todas,855.0,235.0,23.0,1056.0,70.0
hizo,820.0,94.0,50.0,788.0,9.0
moises,792.0,81.0,137.0,0.0,0.0
dias,784.0,167.0,39.0,664.0,1.0
corazon,759.0,115.0,47.0,2.0,52.0
hombres,733.0,254.0,255.0,1225.0,15.0
señor,722.0,740.0,973.0,162.0,42.0
padre,711.0,383.0,54.0,4.0,29.0
jerusalen,699.0,153.0,0.0,0.0,0.0
ciudad,694.0,149.0,46.0,755.0,3.0
nombre,693.0,170.0,144.0,1580.0,18.0
oh,691.0,49.0,1.0,595.0,39.0
ahora,675.0,189.0,27.0,931.0,8.0
lugar,670.0,113.0,132.0,803.0,12.0
dicho,663.0,119.0,50.0,317.0,3.0
vino,634.0,195.0,42.0,795.0,11.0
dos,629.0,159.0,132.0,850.0,34.0
ojos,613.0,91.0,47.0,514.0,15.0
egipto,607.0,24.0,5.0,1.0,0.0
cada,592.0,125.0,87.0,547.0,7.0
alli,577.0,169.0,46.0,910.0,16.0
mujer,559.0,183.0,27.0,626.0,9.0
despues,553.0,192.0,145.0,824.0,11.0
aquel,551.0,210.0,75.0,428.0,52.0
medio,546.0,122.0,24.0,435.0,9.0
hecho,539.0,170.0,206.0,724.0,8.0
palabra,510.0,232.0,49.0,640.0,17.0
camino,508.0,97.0,101.0,438.0,28.0
dice,504.0,120.0,70.0,1032.0,32.0
años,488.0,56.0,26.0,502.0,19.0
oro,470.0,55.0,10.0,474.0,8.0
respondio,465.0,100.0,4.0,409.0,19.0
seran,464.0,61.0,110.0,597.0,0.0
ciudades,456.0,25.0,28.0,403.0,1.0
conforme,456.0,90.0,21.0,189.0,0.0
mil,449.0,58.0,13.0,457.0,5.0
palabras,446.0,115.0,30.0,514.0,30.0
naciones,440.0,33.0,0.0,482.0,0.0
manos,436.0,92.0,52.0,554.0,6.0
padres,434.0,78.0,70.0,389.0,0.0
sacerdote,433.0,73.0,0.0,7.0,2.0
tiempo,428.0,165.0,57.0,652.0,26.0
saul,419.0,1.0,2.0,0.0,0.0
dio,413.0,131.0,19.0,478.0,4.0
fuego,403.0,81.0,191.0,461.0,85.0
siervos,402.0,49.0,101.0,142.0,0.0
espada,390.0,31.0,0.0,369.0,0.0
cuales,390.0,121.0,11.0,275.0,3.0
mal,385.0,50.0,171.0,246.0,23.0
monte,385.0,53.0,9.0,233.0,0.0
siervo,385.0,78.0,23.0,273.0,0.0
puerta,382.0,43.0,11.0,318.0,1.0
bien,381.0,154.0,483.0,485.0,24.0
ofrenda,375.0,26.0,0.0,631.0,24.0
voz,375.0,122.0,12.0,338.0,13.0
jacob,372.0,27.0,16.0,0.0,0.0
cuanto,371.0,119.0,58.0,246.0,18.0
vida,371.0,199.0,256.0,2.0,234.0
cosas,371.0,409.0,47.0,929.0,45.0
aguas,367.0,19.0,3.0,120.0,10.0
sino,365.0,517.0,327.0,617.0,13.0
causa,363.0,141.0,18.0,375.0,8.0
reino,363.0,163.0,2.0,110.0,2.0
altar,360.0,23.0,0.0,39.0,5.0
aun,360.0,214.0,92.0,778.0,18.0
aaron,357.0,5.0,20.0,0.0,0.0
gran,350.0,215.0,30.0,495.0,22.0
habian,350.0,134.0,56.0,478.0,1.0
reyes,348.0,32.0,2.0,7.0,1.0
alma,347.0,36.0,11.0,240.0,124.0
luego,344.0,83.0,249.0,185.0,9.0
varon,343.0,52.0,10.0,59.0,0.0
hermanos,339.0,237.0,29.0,530.0,0.0
ira,339.0,48.0,20.0,362.0,3.0
tres,337.0,85.0,19.0,417.0,43.0
sangre,336.0,103.0,20.0,1.0,0.0
sacerdotes,331.0,85.0,1.0,4.0,2.0
siempre,329.0,90.0,46.0,298.0,23.0
siete,329.0,99.0,24.0,383.0,6.0
ejercitos,327.0,8.0,6.0,24.0,0.0
